train/acc,test/acc,train/loss,test/loss,_step,d_model
0.00390625,0.007946735247969627,7.533011436462402,7.525015830993652,172,1
0.021484375,0.007946735247969627,7.453745365142822,7.454716682434082,244,1
0.015625,0.007946735247969627,7.281325340270996,7.289793968200684,369,1
0.005859375,0.007946735247969627,7.245757579803467,7.234515190124512,404,1
0.025390625,0.007946735247969627,6.913493633270264,6.943034648895264,561,1
0.0078125,0.007946735247969627,6.892730712890625,6.877774715423584,592,1
0.0115234375,0.007946735247969627,4.632602977752685,4.64943265914917,2160,1
0.011328125,0.008161512203514576,4.577536535263062,4.595691204071045,2660,1
0.0115234375,0.007946735247969627,4.572867965698242,4.589570045471191,3050,1
0.013411458395421506,0.007946735247969627,4.569332599639893,4.58886194229126,3400,1
0.013411458395421506,0.007946735247969627,4.571201658248901,4.587509632110596,5430,1
0.010546875,0.007946735247969627,4.571071720123291,4.588209629058838,6320,1
0.0115234375,0.008161512203514576,4.569266414642334,4.588802814483643,7840,1
0.0115234375,0.007946735247969627,4.570412349700928,4.58819580078125,8630,1
0.0115234375,0.007946735247969627,4.570355796813965,4.587679386138916,9660,1
0.0115234375,0.007946735247969627,4.5714757442474365,4.587648868560791,9750,1
0.013216145895421505,0.008161512203514576,4.571257591247559,4.587550640106201,10650,1
0.01529947929084301,0.007946735247969627,4.570285415649414,4.588101863861084,11060,1
0.0115234375,0.007946735247969627,4.572254037857055,4.588075160980225,11410,1
0.013411458395421506,0.007946735247969627,4.569526672363281,4.5871782302856445,12060,1
0.013020833395421505,0.008376289159059525,4.568572330474853,4.588426113128662,12940,1
0.013411458395421506,0.007946735247969627,4.570128631591797,4.5876264572143555,15160,1
0.011328125,0.008161512203514576,4.570425271987915,4.5883612632751465,15540,1
0.011328125,0.008161512203514576,4.570231342315674,4.588730335235596,15860,1
0.011328125,0.008161512203514576,4.571613311767578,4.587686538696289,18210,1
0.0115234375,0.007946735247969627,4.571203565597534,4.587412357330322,19210,1
0.011328125,0.008161512203514576,4.57021198272705,4.587488174438477,19300,1
0.013216145895421505,0.008161512203514576,4.57290096282959,4.587969779968262,19470,1
0.013411458395421506,0.007946735247969627,4.570136880874633,4.588327407836914,23920,1
0.013411458395421506,0.007946735247969627,4.571024084091187,4.5881853103637695,24070,1
0.0115234375,0.007946735247969627,4.5682929992675785,4.588168621063232,24110,1
0.0123046875,0.008161512203514576,4.570475053787232,4.588283061981201,24180,1
0.0111328125,0.008376289159059525,4.5728926181793215,4.587393283843994,26340,1
0.013411458395421506,0.007946735247969627,4.571207714080811,4.587548732757568,27050,1
0.0115234375,0.007946735247969627,4.573408460617065,4.587783336639404,27370,1
0.01510416679084301,0.008161512203514576,4.569538688659668,4.587778091430664,28990,1
0.011328125,0.008161512203514576,4.571578741073608,4.58779239654541,29000,1
0.013216145895421505,0.008161512203514576,4.570554113388061,4.58761739730835,29130,1
0.0111328125,0.008376289159059525,4.570744800567627,4.587442398071289,30270,1
0.0111328125,0.008376289159059525,4.57058162689209,4.588362216949463,31210,1
0.01529947929084301,0.007946735247969627,4.570507764816284,4.587560176849365,31620,1
0.011328125,0.008161512203514576,4.570616388320923,4.5874762535095215,32730,1
0.013216145895421505,0.008161512203514576,4.569572830200196,4.587578296661377,33850,1
0.013411458395421506,0.007946735247969627,4.5663916110992435,4.587947845458984,34370,1
0.0115234375,0.007946735247969627,4.5692298412323,4.587993144989014,35770,1
0.013411458395421506,0.007946735247969627,4.570696592330933,4.587613105773926,37380,1
0.013216145895421505,0.008161512203514576,4.570059204101563,4.587872505187988,39680,1
0.0171875,0.007946735247969627,4.5697534561157225,4.587609767913818,40100,1
0.01529947929084301,0.007946735247969627,4.567814302444458,4.587948322296143,40900,1
0.0115234375,0.007946735247969627,4.572345781326294,4.587785720825195,41000,1
0.0115234375,0.007946735247969627,4.570153713226318,4.587864398956299,41640,1
0.0171875,0.007946735247969627,4.570128011703491,4.587620258331299,41970,1
0.013411458395421506,0.007946735247969627,4.5712934017181395,4.587862491607666,42260,1
0.0115234375,0.007946735247969627,4.570893001556397,4.588037014007568,42500,1
0.01529947929084301,0.007946735247969627,4.571152114868164,4.588235855102539,42900,1
0.0115234375,0.007946735247969627,4.569929313659668,4.588167667388916,43040,1
